polygon_name,tahun,movement_change_mean,movement_change_min,movement_change_max,stay_put_mean,n_records
Banyumas,2021,-0.13050046575342464,-0.44157,0.01886,0.2353454520547945,365
Banyumas,2022,-0.27575190140845074,-0.53049,0.0449,0.2949305633802817,142
Banyuwangi,2021,-0.1339731506849315,-0.45997,0.17269,0.24563430136986303,365
Banyuwangi,2022,-0.31874183098591546,-0.53498,0.00915,0.32732197183098594,142
Barito Kuala,2021,-0.09853871232876713,-0.43358,0.06191,0.21359799999999998,365
Barito Kuala,2022,-0.24932859154929576,-0.47924,0.01392,0.2619942253521127,142
Barito Selatan,2021,-0.039984,-0.38409,0.19244,0.24332882191780822,365
Barito Selatan,2022,-0.17601302816901407,-0.35826,0.13921,0.3000108450704225,142
Barito Timur,2021,-0.019578273972602738,-0.33684,0.20772,0.2396653698630137,365
Barito Timur,2022,-0.16794359154929578,-0.35843,0.1592,0.29374767605633806,142
Barito Utara,2021,-0.074188,-0.36937,0.07584,0.23174950684931508,365
Barito Utara,2022,-0.23053605633802818,-0.37334,0.03998,0.3003695070422535,142
Barru,2021,-0.024922520547945203,-0.38256,0.20849,0.21496816438356164,365
Barru,2022,-0.15872295774647888,-0.41093,0.12033,0.27239401408450703,142
Batam,2021,-0.12834753424657536,-0.41436,0.04928,0.2301451506849315,365
Batam,2022,-0.27286133802816903,-0.44075,-0.05197,0.277485,142
Batang,2021,-0.028396,-0.36822,0.19402,0.2059332328767123,365
Batang,2022,-0.22864345070422537,-0.46537,0.12322,0.2760719718309859,142
Batang Hari,2021,0.03709219178082192,-0.28476,0.34203,0.20459452054794522,365
Batang Hari,2022,-0.09291781690140846,-0.35982,0.37125,0.25782676056338033,142
Batu,2021,-0.17155186301369862,-0.51832,0.08985,0.23014734246575344,365
Batu,2022,-0.29851161971830986,-0.53093,0.07346,0.28878161971830985,142
Batu Bara,2021,-0.034352027397260274,-0.34073,0.27759,0.21739068493150684,365
Batu Bara,2022,-0.20814943661971833,-0.448,0.20394,0.2640317605633803,142
Bau-Bau,2021,0.051582328767123285,-0.31131,0.17912,0.2080766575342466,365
Bau-Bau,2022,-0.10639464788732395,-0.34927,0.13476,0.26196281690140844,142
Bekasi,2021,-0.13208205479452054,-0.42407,0.04862,0.23098879452054796,365
Bekasi,2022,-0.2962369014084507,-0.54675,-0.00379,0.28564992957746477,142
Belitung,2021,-0.07116380821917807,-0.3374,0.0976,0.18048350684931508,365
Belitung,2022,-0.21827373239436618,-0.41448,0.05662,0.2367175352112676,142
Belitung Timur,2021,0.018974520547945205,-0.2703,0.3902,0.1745465479452055,365
Belitung Timur,2022,-0.12382605633802818,-0.34646,0.20688,0.22135880281690143,142
Belu,2021,-0.003374575342465754,-0.29649,0.17891,0.223325698630137,365
Belu,2022,-0.12322521126760562,-0.30766,0.12456,0.274040985915493,142
Bener Meriah,2021,0.012081945205479451,-0.28267,0.71538,0.25496857534246575,365
Bener Meriah,2022,-0.11380084507042254,-0.45739,0.50614,0.3142985915492958,142
Bengkalis,2021,-0.053249835616438354,-0.32649,0.04159,0.2166809315068493,365
Bengkalis,2022,-0.19437514084507043,-0.36591,0.12907,0.2698852816901408,142
Bengkayang,2021,-0.04727986301369863,-0.32957,0.26942,0.270022904109589,365
Bengkayang,2022,-0.19346901408450703,-0.34084,0.40448,0.32906774647887327,142
Bengkulu,2021,-0.06613323287671233,-0.37186,0.10019,0.21567660273972603,365
Bengkulu,2022,-0.2485306338028169,-0.47684,0.28612,0.2736978169014085,142
Bengkulu Selatan,2021,-0.015143561643835617,-0.30392,0.19221,0.22414635616438355,365
Bengkulu Selatan,2022,-0.20641394366197183,-0.40592,0.19985,0.2820980281690141,142
Bengkulu Tengah,2021,-0.004168876712328767,-0.30573,0.34643,0.2237062191780822,365
Bengkulu Tengah,2022,-0.203561338028169,-0.40768,0.14441,0.2885656338028169,142
Bengkulu Utara,2021,-0.004146876712328767,-0.21318,0.27155,0.2345372602739726,365
Bengkulu Utara,2022,-0.12908901408450704,-0.30022,0.22953,0.2856945070422535,142
Berau,2021,-0.03381057534246576,-0.33826,0.10622,0.23503046575342465,365
Berau,2022,-0.20039295774647886,-0.3264,0.03597,0.28677676056338025,142
Biak Numfor,2021,-0.050466191780821915,-0.36201,0.21359,0.21847652054794522,365
Biak Numfor,2022,-0.19087654929577463,-0.33821,0.05991,0.2625562676056338,142
Bima,2021,0.053301178082191786,-0.26818,0.26711,0.24612764383561644,365
Bima,2022,-0.15331816901408452,-0.34542,0.13099,0.31392823943661974,142
Bintan,2021,-0.06202454794520548,-0.38298,0.13115,0.1942777808219178,365
Bintan,2022,-0.2072362676056338,-0.34968,0.0952,0.25250866197183097,142
Bireuen,2021,-0.008448657534246574,-0.28625,0.46956,0.18140301369863016,365
Bireuen,2022,-0.1432483098591549,-0.48392,0.26279,0.23703690140845068,142
Bitung,2021,-0.058638328767123285,-0.32139,0.14119,0.22367476712328765,365
Bitung,2022,-0.1869137323943662,-0.38389,0.03777,0.2608706338028169,142
Blitar,2021,-0.14258049315068494,-0.47694,0.1861,0.2466911780821918,365
