provinsi,tahun,migrasi_masuk,migrasi_keluar,migrasi_neto,sumber
Jambi,1990,136397.0,64033.0,72364.0,BPS Sensus/SUPAS
Sumatera Selatan,1990,212196.0,198841.0,13355.0,BPS Sensus/SUPAS
Bengkulu,1990,82831.0,28595.0,54236.0,BPS Sensus/SUPAS
Lampung,1990,212298.0,135907.0,76391.0,BPS Sensus/SUPAS
Bangka Belitung,1990,,,,BPS Sensus/SUPAS
Kepulauan Riau,1990,,,,BPS Sensus/SUPAS
Jakarta Raya,1990,833029.0,993377.0,-160348.0,BPS Sensus/SUPAS
Jawa Barat,1990,1350596.0,495727.0,854869.0,BPS Sensus/SUPAS
Jawa Tengah,1990,384753.0,1159694.0,-774941.0,BPS Sensus/SUPAS
Yogyakarta,1990,161740.0,120777.0,40963.0,BPS Sensus/SUPAS
Jawa Timur,1990,328607.0,647348.0,-318741.0,BPS Sensus/SUPAS
Banten,1990,,,,BPS Sensus/SUPAS
Bali,1990,65967.0,56127.0,9840.0,BPS Sensus/SUPAS
Nusa Tenggara Barat,1990,37401.0,36853.0,548.0,BPS Sensus/SUPAS
Nusa Tenggara Timur,1990,27107.0,45620.0,-18513.0,BPS Sensus/SUPAS
Kalimantan Barat,1990,43809.0,44686.0,-877.0,BPS Sensus/SUPAS
Kalimantan Tengah,1990,78791.0,37015.0,41776.0,BPS Sensus/SUPAS
Kalimantan Selatan,1990,98330.0,76447.0,21883.0,BPS Sensus/SUPAS
Kalimantan Timur,1990,194531.0,68192.0,126339.0,BPS Sensus/SUPAS
Kalimantan Utara,1990,,,,BPS Sensus/SUPAS
Sulawesi Utara,1990,34736.0,51272.0,-16536.0,BPS Sensus/SUPAS
Sulawesi Tengah,1990,70034.0,28038.0,41996.0,BPS Sensus/SUPAS
Sulawesi Selatan,1990,119455.0,161050.0,-41595.0,BPS Sensus/SUPAS
Sulawesi Tenggara,1990,71143.0,36681.0,34462.0,BPS Sensus/SUPAS
Gorontalo,1990,,,,BPS Sensus/SUPAS
Sulawesi Barat,1990,,,,BPS Sensus/SUPAS
Maluku,1990,68701.0,38899.0,29802.0,BPS Sensus/SUPAS
Maluku Utara,1990,,,,BPS Sensus/SUPAS
Papua Barat,1990,,,,BPS Sensus/SUPAS
Papua,1990,73776.0,31631.0,42145.0,BPS Sensus/SUPAS
Aceh,1995,28498.0,48478.0,-19980.0,BPS Sensus/SUPAS
Sumatera Utara,1995,103258.0,198873.0,-95615.0,BPS Sensus/SUPAS
Sumatera Barat,1995,138531.0,144607.0,-6076.0,BPS Sensus/SUPAS
Riau,1995,147518.0,126372.0,21146.0,BPS Sensus/SUPAS
Jambi,1995,57057.0,52695.0,4362.0,BPS Sensus/SUPAS
Sumatera Selatan,1995,128011.0,187213.0,-59202.0,BPS Sensus/SUPAS
Bengkulu,1995,65933.0,35739.0,30194.0,BPS Sensus/SUPAS
Lampung,1995,114206.0,165921.0,-51715.0,BPS Sensus/SUPAS
Bangka Belitung,1995,,,,BPS Sensus/SUPAS
Kepulauan Riau,1995,,,,BPS Sensus/SUPAS
Jakarta Raya,1995,594542.0,823045.0,-228503.0,BPS Sensus/SUPAS
Jawa Barat,1995,1117615.0,448779.0,668836.0,BPS Sensus/SUPAS
Jawa Tengah,1995,351942.0,732415.0,-380473.0,BPS Sensus/SUPAS
Yogyakarta,1995,165324.0,111019.0,54305.0,BPS Sensus/SUPAS
Jawa Timur,1995,438446.0,410609.0,27837.0,BPS Sensus/SUPAS
Banten,1995,,,,BPS Sensus/SUPAS
Bali,1995,58177.0,45298.0,12879.0,BPS Sensus/SUPAS
Nusa Tenggara Barat,1995,45914.0,34916.0,10998.0,BPS Sensus/SUPAS
Nusa Tenggara Timur,1995,32741.0,43248.0,-10507.0,BPS Sensus/SUPAS
Kalimantan Barat,1995,44752.0,34030.0,10722.0,BPS Sensus/SUPAS
Kalimantan Tengah,1995,36477.0,43071.0,-6594.0,BPS Sensus/SUPAS
Kalimantan Selatan,1995,69244.0,56360.0,12884.0,BPS Sensus/SUPAS
Kalimantan Timur,1995,138627.0,76009.0,62618.0,BPS Sensus/SUPAS
Kalimantan Utara,1995,,,,BPS Sensus/SUPAS
Sulawesi Utara,1995,21852.0,48142.0,-26290.0,BPS Sensus/SUPAS
Sulawesi Tengah,1995,70833.0,28017.0,42816.0,BPS Sensus/SUPAS
Sulawesi Selatan,1995,137341.0,149148.0,-11807.0,BPS Sensus/SUPAS
Sulawesi Tenggara,1995,56937.0,38806.0,18131.0,BPS Sensus/SUPAS
Gorontalo,1995,,,,BPS Sensus/SUPAS
Sulawesi Barat,1995,,,,BPS Sensus/SUPAS
Maluku,1995,22968.0,45936.0,-22968.0,BPS Sensus/SUPAS
Maluku Utara,1995,,,,BPS Sensus/SUPAS
Papua Barat,1995,,,,BPS Sensus/SUPAS
Papua,1995,53298.0,26496.0,26802.0,BPS Sensus/SUPAS
Aceh,2000,15369.0,161581.0,-146212.0,BPS Sensus/SUPAS
Sumatera Utara,2000,139887.0,358521.0,-218634.0,BPS Sensus/SUPAS
Sumatera Barat,2000,109016.0,233945.0,-124929.0,BPS Sensus/SUPAS
Riau,2000,358815.0,88708.0,270107.0,BPS Sensus/SUPAS
